cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
96.0,10.1,9.0,15.5,4026789888,51.0,1747376868.753653
78.8,13.0,11.2,20.0,4026535936,51.0,1747376869.755104
15.0,23.0,6.1,96.0,4025491456,51.0,1747376870.756351
10.3,18.2,2.0,95.1,4025487360,51.0,1747376871.76174
12.2,18.0,8.1,96.0,4026011648,51.0,1747376872.762877
12.0,35.4,13.4,70.0,4025180160,51.0,1747376873.764
4.1,10.2,11.1,96.0,4025176064,51.0,1747376874.765177
7.0,27.0,10.4,95.0,4025180160,51.0,1747376875.766245
5.1,21.0,12.2,96.0,4025188352,51.0,1747376876.767652
4.0,14.1,17.2,94.9,4026474496,51.0,1747376877.768895
5.1,18.8,13.1,95.9,4025692160,51.0,1747376878.770221
6.0,12.9,14.6,94.9,4025688064,51.0,1747376879.77132
8.2,13.0,9.6,95.1,4026204160,51.0,1747376880.772398
7.9,18.4,12.2,94.9,4026716160,51.0,1747376881.773539
11.0,16.3,17.6,95.0,4025937920,51.0,1747376882.774641
6.1,12.5,7.1,95.0,4025638912,51.0,1747376883.775681
12.0,11.9,10.3,96.0,4025630720,51.0,1747376884.776758
16.8,18.0,8.1,95.0,4026404864,51.0,1747376885.777867
12.0,13.9,11.1,95.0,4026400768,51.0,1747376886.778967
19.8,8.2,16.2,94.9,4026400768,51.0,1747376887.78006
13.3,3.1,12.1,95.0,4026396672,51.0,1747376888.781109
12.1,10.0,11.3,95.0,4025618432,51.0,1747376889.782314
14.1,12.2,13.1,96.0,4026134528,51.0,1747376890.783778
14.0,5.1,9.2,95.0,4025610240,51.0,1747376891.785344
15.0,14.1,10.3,96.0,4026122240,51.0,1747376892.787115
13.1,14.3,7.3,95.0,4025827328,51.0,1747376893.78875
20.0,13.9,20.4,70.0,4025827328,51.0,1747376894.790385
94.9,13.5,12.1,18.0,4026085376,51.0,1747376895.791972
96.0,12.0,12.0,11.1,4025552896,51.0,1747376896.793454
95.0,7.2,15.2,14.0,4025810944,51.0,1747376897.795045
96.0,12.1,11.1,11.1,4025540608,51.0,1747376898.796179
96.0,7.1,9.2,11.0,4025540608,51.0,1747376899.79776
95.0,15.0,10.1,18.2,4025536512,51.0,1747376900.798915
63.4,12.1,9.2,44.9,4025528320,51.0,1747376901.799989
56.4,15.8,21.4,41.6,4026818560,51.0,1747376902.801063
96.0,14.9,8.5,11.1,4026552320,51.0,1747376903.802526
84.7,11.2,11.1,22.0,4026548224,51.0,1747376904.803668
95.0,18.6,4.2,16.0,4026802176,51.0,1747376905.806374
39.0,12.2,16.2,76.0,4031954944,51.1,1747376906.807758
6.1,65.0,25.7,39.4,4033241088,51.1,1747376907.808792
3.0,96.0,14.3,12.0,4033744896,51.1,1747376908.809812
1.0,96.0,12.2,18.2,4034002944,51.1,1747376909.812398
10.0,96.0,13.9,21.8,4035026944,51.1,1747376910.813902
10.1,96.0,5.1,14.0,4034248704,51.1,1747376911.815554
14.3,97.0,13.0,15.7,4034052096,51.1,1747376912.817054
9.2,95.0,7.1,12.1,4033785856,51.1,1747376913.818905
66.0,23.8,10.3,30.3,4033781760,51.1,1747376914.820351
2.0,24.2,15.5,95.0,4035072000,51.1,1747376915.822199
5.2,12.1,10.2,96.0,4034551808,51.1,1747376916.823583
10.3,18.0,10.2,95.9,4035063808,51.1,1747376917.825107
12.1,17.8,4.1,95.0,4034547712,51.1,1747376918.826868
10.2,12.0,4.2,95.0,4034535424,51.1,1747376919.828376
20.0,7.1,12.2,94.9,4034789376,51.1,1747376920.829924
14.0,16.3,5.1,96.0,4034269184,51.1,1747376921.831072
19.8,4.0,13.3,95.9,4034523136,51.1,1747376922.832657
17.0,8.0,13.9,95.1,4034260992,51.1,1747376923.834227
17.8,5.1,9.3,95.0,4034252800,51.1,1747376924.835389
21.8,5.1,13.3,95.9,4035284992,51.1,1747376925.836942
13.1,10.1,14.1,95.0,4034760704,51.1,1747376926.838543
16.0,9.1,7.2,96.0,4035534848,51.1,1747376927.841537
